央视上海移动IPV6,#genre#
NewTV欢乐剧场_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000266012/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266012&livemode=1&stbId=m
NewTV家庭剧场_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000008284/1.m3u8?channel-id=ystenlive&Contentid=1000000004000008284&livemode=1&stbId=m
NewTV金牌综艺_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000026167/1.m3u8?channel-id=ystenlive&Contentid=1000000004000026167&livemode=1&stbId=m
NewTV惊悚悬疑_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000024282/1.m3u8?channel-id=ystenlive&Contentid=1000000004000024282&livemode=1&stbId=m
NewTV精品大剧_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000013968/1.m3u8?channel-id=ystenlive&Contentid=1000000004000013968&livemode=1&stbId=m
NewTV精品记录_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000013730/1.m3u8?channel-id=ystenlive&Contentid=1000000004000013730&livemode=1&stbId=m
NewTV精品萌宠_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000006000032328/1.m3u8?channel-id=ystenlive&Contentid=1000000006000032328&livemode=1&stbId=m
NewTV精品体育_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000014634/1.m3u8?channel-id=ystenlive&Contentid=1000000004000014634&livemode=1&stbId=m
NewTV精品综合_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000004000019008/1.m3u8?channel-id=ystenlive&Contentid=1000000004000019008&livemode=1&stbId=m
NewTV军旅剧场_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/7485075951068666323/1.m3u8?channel-id=ystenlive&Contentid=7485075951068666323&livemode=1&stbId=m
NewTV军事评论_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5822616274253344775/1.m3u8?channel-id=ystenlive&Contentid=5822616274253344775&livemode=1&stbId=m
NewTV魅力潇湘_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000006197/1.m3u8?channel-id=ystenlive&Contentid=1000000001000006197&livemode=1&stbId=m
NewTV魅力潇湘_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000266014/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266014&livemode=1&stbId=m
NewTV农业致富_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/6193684637634073625/1.m3u8?channel-id=ystenlive&Contentid=6193684637634073625&livemode=1&stbId=m
NewTV热播精选_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/7681593242002292003/1.m3u8?channel-id=ystenlive&Contentid=7681593242002292003&livemode=1&stbId=m
NewTV武博世界_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/bokesen/1.m3u8?channel-id=ystenlive&Contentid=bokesen&livemode=1&stbId=m
NewTV炫舞未来_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000001000000515/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000515&livemode=1&stbId=m
NewTV怡伴健康_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/1000000005000266011/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266011&livemode=1&stbId=m
NewTV中国功夫_4M1080,http://[2409:8087:1e01:23::10]:8112/000000001000/5897056882324761054/1.m3u8?channel-id=ystenlive&Contentid=5897056882324761054&livemode=1&stbId=m

SiTV上海移动IPV6,#genre#
